timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 16:04:12.255, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:12.358, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:12.461, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:12.564, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:12.666, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:12.769, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:12.871, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:12.974, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:13.076, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:13.179, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:13.282, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:13.386, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:13.489, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:13.592, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:13.694, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:13.800, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:13.904, 1 %, 4 %, 378 MiB, 49
2026/06/25 16:04:14.006, 1 %, 4 %, 378 MiB, 49
2026/06/25 16:04:14.109, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:14.214, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:14.327, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:14.429, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:14.532, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:14.636, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:14.739, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:14.843, 1 %, 3 %, 378 MiB, 49
2026/06/25 16:04:14.947, 1 %, 3 %, 378 MiB, 49
2026/06/25 16:04:15.051, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:15.154, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:15.257, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:15.361, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:15.463, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:15.565, 0 %, 0 %, 378 MiB, 49
2026/06/25 16:04:15.668, 1 %, 4 %, 378 MiB, 49
2026/06/25 16:04:15.770, 1 %, 4 %, 378 MiB, 49
2026/06/25 16:04:15.873, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:15.976, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:16.079, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:16.181, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:16.283, 0 %, 5 %, 387 MiB, 49
2026/06/25 16:04:16.385, 0 %, 5 %, 378 MiB, 49
2026/06/25 16:04:16.487, 11 %, 3 %, 378 MiB, 49
2026/06/25 16:04:16.589, 11 %, 3 %, 387 MiB, 49
2026/06/25 16:04:16.694, 5 %, 0 %, 378 MiB, 49
2026/06/25 16:04:16.796, 5 %, 0 %, 378 MiB, 49
2026/06/25 16:04:16.897, 2 %, 1 %, 387 MiB, 50
2026/06/25 16:04:17.000, 2 %, 1 %, 378 MiB, 50
2026/06/25 16:04:17.103, 7 %, 1 %, 378 MiB, 50
2026/06/25 16:04:17.205, 7 %, 1 %, 378 MiB, 50
2026/06/25 16:04:17.308, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:17.409, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:17.511, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:17.613, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:17.715, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:17.818, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:17.920, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:18.023, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:18.125, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:18.226, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:18.328, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:18.430, 0 %, 0 %, 378 MiB, 50
2026/06/25 16:04:18.531, 0 %, 0 %, 378 MiB, 50
