timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 15:48:49.170, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:49.273, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:49.375, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:49.478, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:49.581, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:49.684, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:49.786, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:49.889, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:49.992, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:50.095, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:50.198, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:50.300, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:50.403, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:50.506, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:50.609, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:50.711, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:50.814, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:50.917, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:51.021, 1 %, 3 %, 378 MiB, 49
2026/06/25 15:48:51.124, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:51.227, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:51.330, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:51.439, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:51.541, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:51.644, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:51.746, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:51.849, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:51.951, 1 %, 4 %, 378 MiB, 49
2026/06/25 15:48:52.055, 1 %, 4 %, 378 MiB, 49
2026/06/25 15:48:52.158, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:52.261, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:52.366, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:52.469, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:52.572, 1 %, 1 %, 378 MiB, 49
2026/06/25 15:48:52.674, 1 %, 1 %, 378 MiB, 49
2026/06/25 15:48:52.778, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:52.881, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:52.984, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:53.086, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:53.187, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:53.289, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:53.391, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:53.493, 0 %, 5 %, 378 MiB, 49
2026/06/25 15:48:53.596, 0 %, 5 %, 387 MiB, 49
2026/06/25 15:48:53.700, 0 %, 5 %, 473 MiB, 49
2026/06/25 15:48:53.801, 11 %, 4 %, 378 MiB, 49
2026/06/25 15:48:53.903, 11 %, 4 %, 378 MiB, 49
2026/06/25 15:48:54.004, 0 %, 0 %, 378 MiB, 49
2026/06/25 15:48:54.106, 0 %, 0 %, 387 MiB, 49
